"Model","Relative Error","Standard Deviation","Gains","Total Time","Training Time (1,000 Rows)","Scoring Time (1,000 Rows)"
"Generalized Linear Model",0.6015093525020843,0.02175067443279621,,4953.0,1624.3386243386244,52.980132450331126
"Deep Learning",0.6359237971577769,0.019874129594838853,,6748.0,3722.222222222222,26.490066225165563
"Decision Tree",0.5886407283598631,0.026810590384351702,,565.0,23.809523809523807,26.490066225165563
"Random Forest",0.5234723629224417,0.04354340687365877,,9937.0,341.26984126984127,178.80794701986756
"Gradient Boosted Trees",0.5750426659181846,0.014417037698590025,,73234.0,2838.6243386243386,39.735099337748345
"Support Vector Machine",0.4398170603845646,0.046842313479176625,,8540.0,92.59259259259258,86.09271523178808
